20:57:02:765  INFO 318189 --- [SpringApplicationShutdownHook] com.alibaba.nacos.common.remote.client   : Close current connection 1707655570714_172.19.0.1_60046
20:57:02:768  INFO 318189 --- [nacos-grpc-client-executor-183] c.a.n.c.remote.client.grpc.GrpcClient    : [1707655570714_172.19.0.1_60046]Ignore complete event,isRunning:false,isAbandon=false
20:57:02:774  INFO 318189 --- [SpringApplicationShutdownHook] c.a.n.c.remote.client.grpc.GrpcClient    : Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@356c4826[Running, pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 184]
21:02:24:050  INFO 329451 --- [main] com.hmall.gateway.GatewayApplication     : The following 1 profile is active: "dev"
21:02:24:589  INFO 329451 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=2c65178b-e10a-3fa4-8e74-3fe0234f10a1
21:02:24:634  INFO 329451 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:02:24:635  INFO 329451 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:02:24:636  INFO 329451 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:02:25:676  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [After]
21:02:25:676  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Before]
21:02:25:676  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Between]
21:02:25:676  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Cookie]
21:02:25:676  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Header]
21:02:25:676  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Host]
21:02:25:676  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Method]
21:02:25:676  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Path]
21:02:25:676  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Query]
21:02:25:677  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [ReadBody]
21:02:25:677  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [RemoteAddr]
21:02:25:677  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [XForwardedRemoteAddr]
21:02:25:677  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Weight]
21:02:25:677  INFO 329451 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [CloudFoundryRouteService]
